kb_id,title,category,platform,attack_type,tags,severity_min,triggers,summary,steps,what_to_check,escalate_if,references
KB-011,Azure AD Privilege Escalation,Privilege Escalation,Cloud - Azure,Azure AD Role Assignment,"azure,aad,cloud,privilege_escalation,rbac",high,"Add member to privileged role,Grant application permissions,Service principal privilege changes,PIM role activation,Custom role creation","Unauthorized elevation of Azure AD privileges through role assignments or application permission grants","1. Identify principal that made role assignment via Azure AD audit logs. 2. Review which role was granted (Global Admin/Privileged Role Admin). 3. Check if role assignment was permanent or PIM-eligible. 4. Verify source IP and user-agent against known admin workstations. 5. Review recent activity of newly privileged account. 6. Check for application permission grants (Graph API/Exchange). 7. List all members of privileged roles for anomalies","Assignment to Global Administrator or Privileged Role Administrator,Application granted Mail.ReadWrite or Directory.ReadWrite.All,Service principal given excessive permissions,PIM activation outside business hours,Custom roles with wildcard permissions,Multiple role assignments in rapid succession","Role assignment followed by mass data access,New application registered with admin consent,Password reset on privileged accounts,MFA disabled on admin accounts,Cross-tenant synchronization configured,Bulk user/group modifications post-escalation","MITRE ATT&CK T1078.004,Microsoft Azure AD Security,AADInternals Attack Techniques"
KB-012,SQL Injection to RCE,Initial Access,Database,SQL Injection with Code Execution,"sqli,rce,database,web_attack",critical,"xp_cmdshell execution,OPENROWSET usage,SQL error messages in web logs,Union-based injection patterns,Bulk insert from external sources","Attacker exploits SQL injection vulnerability to execute operating system commands on database server","1. Identify web application and vulnerable parameter from WAF/IDS logs. 2. Review SQL server logs for xp_cmdshell or sp_OACreate execution. 3. Extract attacker's SQL commands from application logs. 4. Check if xp_cmdshell was enabled during the attack. 5. Review OS command execution results and actions taken. 6. Identify database account used (sa vs application account). 7. Check for data exfiltration via OPENROWSET or bulk operations","SQL errors in web application logs (syntax errors/union queries),xp_cmdshell enabled on SQL server,Commands executed via xp_cmdshell (whoami/net user/powershell),OPENROWSET queries to external servers,Application database account has sysadmin role,Web requests with SQL keywords (union/select/exec/cast)","RCE confirmed via command execution,Credential dumping from SQL server,Lateral movement from database server,Web shell uploaded to web root via SQL,Sensitive database tables accessed or exfiltrated,Attack originated from public internet (not authenticated users)","MITRE ATT&CK T1190,OWASP SQL Injection,Microsoft SQL Server Security,PortSwigger SQL Injection Guide"
KB-013,Kubernetes Pod Escape,Privilege Escalation,Container,Container Escape,"kubernetes,container,escape,docker",critical,"Privileged pod creation,HostPath volume mounts,Nsenter execution,CAP_SYS_ADMIN capability,Docker socket mount","Attacker escapes container to access underlying Kubernetes node or cluster","1. Identify pod with privileged settings or host mounts via kubectl get pods -o json. 2. Review pod security context for privileged:true or hostPID:true. 3. Check for mounted volumes especially /var/run/docker.sock or host paths. 4. Examine container capabilities for CAP_SYS_ADMIN. 5. Review Kubernetes audit logs for pod creation/modification. 6. Check if service account has excessive RBAC permissions. 7. Investigate commands executed inside suspicious containers","Privileged: true in pod spec,HostPath mounts to / or /var/run/docker.sock,Container capabilities include SYS_ADMIN or SYS_PTRACE,Pod running as root (runAsUser:0),Service account with cluster-admin binding,Nsenter or chroot executed inside container,Node filesystem accessible from container","Confirmed node access from container,Secrets extracted from etcd,Privilege escalation to cluster-admin,Multiple nodes compromised,Cryptomining deployed cluster-wide,Control plane access achieved","MITRE ATT&CK T1611,Kubernetes Security Best Practices,CIS Kubernetes Benchmark,Aqua Container Escape Techniques"
KB-014,Office 365 Inbox Rule Manipulation,Collection,Cloud - Office 365,Email Forwarding Rules,"o365,email,forwarding,persistence",high,"New-InboxRule with forwarding,Set-InboxRule modifications,Rules forwarding to external domains,Hidden inbox rules,Suspicious rule names","Attacker creates email forwarding rules to exfiltrate emails or maintain persistence after credential compromise","1. Identify affected mailbox and rule creation timestamp via O365 audit logs. 2. Review rule conditions (from/subject/body keywords) and actions (forward/delete/move). 3. Check forwarding destination addresses for external domains. 4. Verify if rule is hidden (rule created via PowerShell not Outlook). 5. Review recent sign-in activity for compromised account. 6. Check for data access post-rule creation (MailItemsAccessed). 7. Search for similar rules across tenant","Rules forwarding to external domains (gmail/outlook/protonmail),Rules with 'StopProcessingRules:true' (hides from Outlook),Rule names: . or blank or random characters,Rules created via PowerShell New-InboxRule,Forwarding targeting CEO/CFO/Finance emails,Rules deleting after forwarding to hide evidence,Creation within 24hrs of suspicious sign-in","Confirmed account compromise with impossible travel,Sensitive emails forwarded (finance/legal/executive),Multiple mailboxes with identical forwarding rules,External domain linked to known phishing campaign,MFA disabled or legacy auth used,Business Email Compromise indicators present","MITRE ATT&CK T1114.003,Microsoft Email Forwarding Detection,FBI BEC Advisory"
KB-015,WMI Persistence,Persistence,Windows,WMI Event Subscription,"wmi,persistence,event_subscription,fileless",high,"WMI event consumer creation,__EventFilter creation,__FilterToConsumerBinding,ActiveScriptEventConsumer,CommandLineEventConsumer","Attacker uses WMI event subscriptions for fileless persistence that survives reboots","1. Enumerate all WMI event subscriptions: Get-WMIObject -Namespace root\subscription -Class __EventFilter. 2. Review __EventConsumer for suspicious command execution or scripts. 3. Check __FilterToConsumerBinding for active subscriptions. 4. Analyze EventFilter query for trigger conditions (time/process/logon). 5. Investigate consumer payload (VBScript/PowerShell commands). 6. Search for similar WMI persistence across environment. 7. Check WMI activity logs (Microsoft-Windows-WMI-Activity/Operational)","CommandLineEventConsumer with encoded PowerShell,ActiveScriptEventConsumer with VBScript downloading payloads,Event filters triggering on logon or specific times,Consumer names with random characters or system-looking names,WMI subscriptions in unusual namespaces,Subscription created by non-admin or compromised account,Payload executes from temp/public/AppData directories","WMI persistence on domain controller,Multiple endpoints with identical WMI subscriptions,Consumer executes known malware or C2 tool,Subscription created during confirmed breach window,Fileless malware delivered via WMI,Lateral movement evidence from subscribing host","MITRE ATT&CK T1546.003,FireEye WMI Offense and Defense,Microsoft WMI Architecture"
KB-016,GCP Cloud Storage Data Exfiltration,Exfiltration,Cloud - GCP,Storage Bucket Access,"gcp,storage,exfiltration,bucket",high,"storage.objects.list on sensitive buckets,storage.objects.get excessive calls,Bucket policy changes to allUsers,Service account key creation,gsutil cp to external locations","Unauthorized access to GCP Cloud Storage buckets with bulk download or permission changes","1. Identify principal accessing storage buckets via Cloud Audit Logs. 2. Review which buckets were accessed and object count. 3. Check for bucket permission changes (allUsers/allAuthenticatedUsers). 4. Verify source IP against known GCP IP ranges and expected locations. 5. Calculate data volume accessed (GetObject request sizes). 6. Review service account key creation events. 7. Check for bucket-to-bucket transfers to attacker-controlled projects","Bucket permissions changed to public (allUsers),Excessive storage.objects.get (>1000 in 1 hour),Service account key created then immediately used,Access from unexpected GCP project,gsutil or gcloud commands from unusual sources,IAM binding granting storage.admin to new principals,Bucket lifecycle policies modified to prevent deletion","Data volume exceeds 100GB in single session,Sensitive buckets accessed (PII/financial/credentials),Cross-project data transfer detected,Service account key exfiltrated and used externally,Public bucket configuration exposed sensitive data,Multiple projects showing similar exfiltration patterns","MITRE ATT&CK T1530,GCP Storage Security Best Practices,Google Cloud Audit Logs Guide"
KB-017,Kerberos Golden Ticket Attack,Credential Access,Windows,Kerberos Ticket Forgery,"kerberos,golden_ticket,krbtgt,domain_persistence",critical,"TGT with unusual lifetime,Kerberos tickets for disabled accounts,RC4 encryption in TGT when AES expected,KRBTGT account password access,Mimikatz DCSync operations","Attacker forges Kerberos TGT using compromised KRBTGT hash to gain persistent domain access","1. Review Kerberos Event 4769 for tickets with lifetime >10 hours. 2. Check for RC4_HMAC encryption when domain uses AES256. 3. Identify accounts using forged tickets (especially disabled accounts). 4. Review DCSync events (replication from non-DC) targeting KRBTGT. 5. Check for anomalous service ticket requests from unusual sources. 6. Analyze authentication patterns from suspected golden ticket. 7. Review domain controller security logs for KRBTGT hash access","Kerberos tickets with 10 year lifetime,Disabled accounts successfully authenticating,RC4 encryption tickets in AES-only domain,Account authenticating from multiple IPs simultaneously,Service tickets requested for services that don't exist,TGTs issued outside of normal KDC process,Events 4768/4769 for service accounts outside business hours","Domain controller compromise confirmed,KRBTGT hash extracted via DCSync or LSASS dump,Authentication to critical systems with forged tickets,Lateral movement using golden ticket,Multiple privileged accounts accessed with same ticket,Evidence of domain-wide persistence mechanism","MITRE ATT&CK T1558.001,SANS Golden Ticket Detection,Microsoft Kerberos Security,Detect and Mitigate Golden Ticket"
KB-018,Cloud VM Instance Hijacking,Resource Hijacking,Cloud - Multi,Cryptomining via Cloud Compute,"cryptomining,cloud,compute,resource_hijacking",high,"High CPU usage on VM instances,Outbound connections to mining pools,Unauthorized instance launches,SSH key modifications,Instance metadata changes","Attacker launches or hijacks cloud VM instances for cryptocurrency mining operations","1. Identify instances with sustained 100% CPU usage via cloud monitoring. 2. Review instance creation logs for unauthorized launches. 3. Check outbound network connections for mining pool IPs (port 3333/4444/8080). 4. Analyze running processes for mining software (xmrig/ccminer/ethminer). 5. Review instance metadata for SSH key additions. 6. Check IAM logs for compute.instances.create permissions usage. 7. Calculate cost impact from unauthorized resource usage","CPU sustained at 90-100% on instances,Network connections to known mining pools (stratum+tcp://),Instance types changed to compute-optimized (AWS c5/GCP c2),Instances launched in unused regions,SSH keys added to instance metadata,Processes: xmrig/minerd/ccminer running,Spot/preemptible instances launched en masse","Monthly cloud bill increase >500%,Mining detected on production instances,Hundreds of instances launched simultaneously,Service account credentials compromised,Mining operation spans multiple cloud providers,Instance snapshots taken before mining deployment","MITRE ATT&CK T1496,AWS Cryptomining Detection,Google Cloud Security Response,Cloud Cryptomining Indicators"
KB-019,Active Directory ACL Manipulation,Persistence,Windows,AD Permission Backdoor,"active_directory,acl,persistence,dcsync",high,"GenericAll/WriteDacl/WriteOwner granted,DCSync permissions added,AdminSDHolder modifications,Sensitive object ACL changes,Unexpected replication permissions","Attacker modifies Active Directory ACLs to grant themselves persistence and privilege escalation paths","1. Review AD audit logs for ACL modifications (Event 5136). 2. Enumerate objects with GenericAll/WriteDacl for unexpected trustees. 3. Check for users granted DS-Replication-Get-Changes (DCSync rights). 4. Review AdminSDHolder object ACL for backdoors. 5. Identify which account made the ACL change and verify legitimacy. 6. Check for shadow credentials or resource-based constrained delegation. 7. Search for similar ACL changes across domain","GenericAll granted to standard user account on domain objects,DS-Replication-Get-Changes granted to non-DC computer,WriteDacl permission added to AdminSDHolder,ACL changes to Domain Admins or Enterprise Admins groups,Permissions granted to service accounts or old unused accounts,Shadow credentials added to privileged accounts,ACL modifications outside change control windows","ACL backdoor on domain controllers,DCSync permissions used to dump credentials,AdminSDHolder modifications allowing persistent admin access,Multiple privilege escalation paths created,ACL changes during active incident,Shadow credentials used for authentication bypass","MITRE ATT&CK T1222.001,Bloodhound AD Attack Paths,Microsoft AD ACL Security,SpecterOps AD Security"
KB-020,Log Deletion and Tampering,Defense Evasion,Windows/Linux,Audit Log Clearing,"log_deletion,defense_evasion,antiforensics,audit_bypass",high,"wevtutil clear-log,Clear-EventLog,rm /var/log,auditpol disable,EventLog service stopped","Attacker clears or disables security logs to hide malicious activity and frustrate incident response","1. Check for Event 1102 (Security log cleared) and 104 (System log cleared). 2. Identify account that cleared logs and source host. 3. Review if entire log was cleared or selective events deleted. 4. Check for EventLog service stops (Event 1100). 5. Verify if auditpol was used to disable specific audit categories. 6. Review backup copies or SIEM for logs before deletion. 7. Check for similar log clearing across environment (lateral movement indicator)","Event 1102: Security log cleared by [account],wevtutil cl Security/System/Application,Clear-EventLog PowerShell cmdlet,Linux: rm -rf /var/log/* or > /var/log/auth.log,Windows EventLog service stopped via sc stop EventLog,Audit policy disabled: auditpol /set /category:* /success:disable,Log clearing 0-2 hours after initial compromise","Logs cleared on multiple critical systems,Domain controller logs tampered with,Log deletion followed by ransomware deployment,SIEM forwarding disabled before log clearing,All forensic artifacts destroyed (logs/prefetch/USN journal),Logs cleared during confirmed active breach","MITRE ATT&CK T1070.001,SANS Log Analysis,Windows Event Log Security,Linux Audit Best Practices"
